#200年农历数据
#整理自香港天文台公历农历对照表
1901-1-1	十一		
1901-1-2	十二		
1901-1-3	十三		
1901-1-4	十四		
1901-1-5	十五		
1901-1-6	十六		小寒
1901-1-7	十七		
1901-1-8	十八		
1901-1-9	十九		
1901-1-10	二十		
1901-1-11	廿一		
1901-1-12	廿二		
1901-1-13	廿三		
1901-1-14	廿四		
1901-1-15	廿五		
1901-1-16	廿六		
1901-1-17	廿七		
1901-1-18	廿八		
1901-1-19	廿九		
1901-1-20	初一	十二月	
1901-1-21	初二		大寒
1901-1-22	初三		
1901-1-23	初四		
1901-1-24	初五		
1901-1-25	初六		
1901-1-26	初七		
1901-1-27	初八		
1901-1-28	初九		
1901-1-29	初十		
1901-1-30	十一		
1901-1-31	十二		
1901-2-1	十三		
1901-2-2	十四		
1901-2-3	十五		
1901-2-4	十六		立春
1901-2-5	十七		
1901-2-6	十八		
1901-2-7	十九		
1901-2-8	二十		
1901-2-9	廿一		
1901-2-10	廿二		
1901-2-11	廿三		
1901-2-12	廿四		
1901-2-13	廿五		
1901-2-14	廿六		
1901-2-15	廿七		
1901-2-16	廿八		
1901-2-17	廿九		
1901-2-18	三十		
1901-2-19	初一	正月	雨水
1901-2-20	初二		
1901-2-21	初三		
1901-2-22	初四		
1901-2-23	初五		
1901-2-24	初六		
1901-2-25	初七		
1901-2-26	初八		
1901-2-27	初九		
1901-2-28	初十		
1901-3-1	十一		
1901-3-2	十二		
1901-3-3	十三		
1901-3-4	十四		
1901-3-5	十五		
1901-3-6	十六		驚蟄
1901-3-7	十七		
1901-3-8	十八		
1901-3-9	十九		
1901-3-10	二十		
1901-3-11	廿一		
1901-3-12	廿二		
1901-3-13	廿三		
1901-3-14	廿四		
1901-3-15	廿五		
1901-3-16	廿六		
1901-3-17	廿七		
1901-3-18	廿八		
1901-3-19	廿九		
1901-3-20	初一	二月	
1901-3-21	初二		春分
1901-3-22	初三		
1901-3-23	初四		
1901-3-24	初五		
1901-3-25	初六		
1901-3-26	初七		
1901-3-27	初八		
1901-3-28	初九		
1901-3-29	初十		
1901-3-30	十一		
1901-3-31	十二		
1901-4-1	十三		
1901-4-2	十四		
1901-4-3	十五		
1901-4-4	十六		
1901-4-5	十七		清明
1901-4-6	十八		
1901-4-7	十九		
1901-4-8	二十		
1901-4-9	廿一		
1901-4-10	廿二		
1901-4-11	廿三		
1901-4-12	廿四		
1901-4-13	廿五		
1901-4-14	廿六		
1901-4-15	廿七		
1901-4-16	廿八		
1901-4-17	廿九		
1901-4-18	三十		
1901-4-19	初一	三月	
1901-4-20	初二		
1901-4-21	初三		穀雨
1901-4-22	初四		
1901-4-23	初五		
1901-4-24	初六		
1901-4-25	初七		
1901-4-26	初八		
1901-4-27	初九		
1901-4-28	初十		
1901-4-29	十一		
1901-4-30	十二		
1901-5-1	十三		
1901-5-2	十四		
1901-5-3	十五		
1901-5-4	十六		
1901-5-5	十七		
1901-5-6	十八		立夏
1901-5-7	十九		
1901-5-8	二十		
1901-5-9	廿一		
1901-5-10	廿二		
1901-5-11	廿三		
1901-5-12	廿四		
1901-5-13	廿五		
1901-5-14	廿六		
1901-5-15	廿七		
1901-5-16	廿八		
1901-5-17	廿九		
1901-5-18	初一	四月	
1901-5-19	初二		
1901-5-20	初三		
1901-5-21	初四		
1901-5-22	初五		小滿
1901-5-23	初六		
1901-5-24	初七		
1901-5-25	初八		
1901-5-26	初九		
1901-5-27	初十		
1901-5-28	十一		
1901-5-29	十二		
1901-5-30	十三		
1901-5-31	十四		
1901-6-1	十五		
1901-6-2	十六		
1901-6-3	十七		
1901-6-4	十八		
1901-6-5	十九		
1901-6-6	二十		芒種
1901-6-7	廿一		
1901-6-8	廿二		
1901-6-9	廿三		
1901-6-10	廿四		
1901-6-11	廿五		
1901-6-12	廿六		
1901-6-13	廿七		
1901-6-14	廿八		
1901-6-15	廿九		
1901-6-16	初一	五月	
1901-6-17	初二		
1901-6-18	初三		
1901-6-19	初四		
1901-6-20	初五		
1901-6-21	初六		
1901-6-22	初七		夏至
1901-6-23	初八		
1901-6-24	初九		
1901-6-25	初十		
1901-6-26	十一		
1901-6-27	十二		
1901-6-28	十三		
1901-6-29	十四		
1901-6-30	十五		
1901-7-1	十六		
1901-7-2	十七		
1901-7-3	十八		
1901-7-4	十九		
1901-7-5	二十		
1901-7-6	廿一		
1901-7-7	廿二		
1901-7-8	廿三		小暑
1901-7-9	廿四		
1901-7-10	廿五		
1901-7-11	廿六		
1901-7-12	廿七		
1901-7-13	廿八		
1901-7-14	廿九		
1901-7-15	三十		
1901-7-16	初一	六月	
1901-7-17	初二		
1901-7-18	初三		
1901-7-19	初四		
1901-7-20	初五		
1901-7-21	初六		
1901-7-22	初七		
1901-7-23	初八		大暑
1901-7-24	初九		
1901-7-25	初十		
1901-7-26	十一		
1901-7-27	十二		
1901-7-28	十三		
1901-7-29	十四		
1901-7-30	十五		
1901-7-31	十六		
1901-8-1	十七		
1901-8-2	十八		
1901-8-3	十九		
1901-8-4	二十		
1901-8-5	廿一		
1901-8-6	廿二		
1901-8-7	廿三		
1901-8-8	廿四		立秋
1901-8-9	廿五		
1901-8-10	廿六		
1901-8-11	廿七		
1901-8-12	廿八		
1901-8-13	廿九		
1901-8-14	初一	七月	
1901-8-15	初二		
1901-8-16	初三		
1901-8-17	初四		
1901-8-18	初五		
1901-8-19	初六		
1901-8-20	初七		
1901-8-21	初八		
1901-8-22	初九		
1901-8-23	初十		
1901-8-24	十一		處暑
1901-8-25	十二		
1901-8-26	十三		
1901-8-27	十四		
1901-8-28	十五		
1901-8-29	十六		
1901-8-30	十七		
1901-8-31	十八		
1901-9-1	十九		
1901-9-2	二十		
1901-9-3	廿一		
1901-9-4	廿二		
1901-9-5	廿三		
1901-9-6	廿四		
1901-9-7	廿五		
1901-9-8	廿六		白露
1901-9-9	廿七		
1901-9-10	廿八		
1901-9-11	廿九		
1901-9-12	三十		
1901-9-13	初一	八月	
1901-9-14	初二		
1901-9-15	初三		
1901-9-16	初四		
1901-9-17	初五		
1901-9-18	初六		
1901-9-19	初七		
1901-9-20	初八		
1901-9-21	初九		
1901-9-22	初十		
1901-9-23	十一		
1901-9-24	十二		秋分
1901-9-25	十三		
1901-9-26	十四		
1901-9-27	十五		
1901-9-28	十六		
1901-9-29	十七		
1901-9-30	十八		
1901-10-1	十九		
1901-10-2	二十		
1901-10-3	廿一		
1901-10-4	廿二		
1901-10-5	廿三		
1901-10-6	廿四		
1901-10-7	廿五		
1901-10-8	廿六		
1901-10-9	廿七		寒露
1901-10-10	廿八		
1901-10-11	廿九		
1901-10-12	初一	九月	
1901-10-13	初二		
1901-10-14	初三		
1901-10-15	初四		
1901-10-16	初五		
1901-10-17	初六		
1901-10-18	初七		
1901-10-19	初八		
1901-10-20	初九		
1901-10-21	初十		
1901-10-22	十一		
1901-10-23	十二		
1901-10-24	十三		霜降
1901-10-25	十四		
1901-10-26	十五		
1901-10-27	十六		
1901-10-28	十七		
1901-10-29	十八		
1901-10-30	十九		
1901-10-31	二十		
1901-11-1	廿一		
1901-11-2	廿二		
1901-11-3	廿三		
1901-11-4	廿四		
1901-11-5	廿五		
1901-11-6	廿六		
1901-11-7	廿七		
1901-11-8	廿八		立冬
1901-11-9	廿九		
1901-11-10	三十		
1901-11-11	初一	十月	
1901-11-12	初二		
1901-11-13	初三		
1901-11-14	初四		
1901-11-15	初五		
1901-11-16	初六		
1901-11-17	初七		
1901-11-18	初八		
1901-11-19	初九		
1901-11-20	初十		
1901-11-21	十一		
1901-11-22	十二		
1901-11-23	十三		小雪
1901-11-24	十四		
1901-11-25	十五		
1901-11-26	十六		
1901-11-27	十七		
1901-11-28	十八		
1901-11-29	十九		
1901-11-30	二十		
1901-12-1	廿一		
1901-12-2	廿二		
1901-12-3	廿三		
1901-12-4	廿四		
1901-12-5	廿五		
1901-12-6	廿六		
1901-12-7	廿七		
1901-12-8	廿八		大雪
1901-12-9	廿九		
1901-12-10	三十		
1901-12-11	初一	十一月	
1901-12-12	初二		
1901-12-13	初三		
1901-12-14	初四		
1901-12-15	初五		
1901-12-16	初六		
1901-12-17	初七		
1901-12-18	初八		
1901-12-19	初九		
1901-12-20	初十		
1901-12-21	十一		
1901-12-22	十二		冬至
1901-12-23	十三		
1901-12-24	十四		
1901-12-25	十五		
1901-12-26	十六		
1901-12-27	十七		
1901-12-28	十八		
1901-12-29	十九		
1901-12-30	二十		
1901-12-31	廿一		
1902-1-1	廿二		
1902-1-2	廿三		
1902-1-3	廿四		
1902-1-4	廿五		
1902-1-5	廿六		
1902-1-6	廿七		小寒
1902-1-7	廿八		
1902-1-8	廿九		
1902-1-9	三十		
1902-1-10	初一	十二月	
1902-1-11	初二		
1902-1-12	初三		
1902-1-13	初四		
1902-1-14	初五		
1902-1-15	初六		
1902-1-16	初七		
1902-1-17	初八		
1902-1-18	初九		
1902-1-19	初十		
1902-1-20	十一		
1902-1-21	十二		大寒
1902-1-22	十三		
1902-1-23	十四		
1902-1-24	十五		
1902-1-25	十六		
1902-1-26	十七		
1902-1-27	十八		
1902-1-28	十九		
1902-1-29	二十		
1902-1-30	廿一		
1902-1-31	廿二		
1902-2-1	廿三		
1902-2-2	廿四		
1902-2-3	廿五		
1902-2-4	廿六		
1902-2-5	廿七		立春
1902-2-6	廿八		
1902-2-7	廿九		
1902-2-8	初一	正月	
1902-2-9	初二		
1902-2-10	初三		
1902-2-11	初四		
1902-2-12	初五		
